ImageNumber,ObjectNumber,Metadata_DataFolder,Metadata_FileLocation,Metadata_Frame,Metadata_Repl,Metadata_Series,Metadata_Set,Metadata_Treatment,Children_Coloc_Count,Children_P1_Count,Children_P2_Count,Intensity_IntegratedIntensity_ColocBW,Intensity_IntegratedIntensity_P1BW,Intensity_IntegratedIntensity_P2BW
1,1,C:\Users\Christian Tischer\Dropbox\ImageAnalysisWorkflows\CellProfiler_2DColoc_PixelBased_PerCell\data,nan,0,Repl_20141209,0,Set_001,Treatment_A,179,384,286,1276.0,3073.0,2641.0
1,2,C:\Users\Christian Tischer\Dropbox\ImageAnalysisWorkflows\CellProfiler_2DColoc_PixelBased_PerCell\data,nan,0,Repl_20141209,0,Set_001,Treatment_A,80,169,163,533.0,1439.0,1537.0
1,3,C:\Users\Christian Tischer\Dropbox\ImageAnalysisWorkflows\CellProfiler_2DColoc_PixelBased_PerCell\data,nan,0,Repl_20141209,0,Set_001,Treatment_A,53,154,101,353.0,942.0,720.0
1,4,C:\Users\Christian Tischer\Dropbox\ImageAnalysisWorkflows\CellProfiler_2DColoc_PixelBased_PerCell\data,nan,0,Repl_20141209,0,Set_001,Treatment_A,68,113,141,483.0,1089.0,1388.0
